"","X","SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents"
"25652",25652,0,0.020936565,26,0,0.525959368,3100,9,0,1,0,0
"59017",59017,0,0.23825361,40,0,0.523740591,6907,13,0,1,0,1
"58686",58686,0,0.165467921,58,0,2520,NA,17,0,2,0,0
"27666",27666,0,0.845975829,67,0,0.880122558,2610,7,0,3,0,0
"31266",31266,0,0.370253466,44,0,0.323032176,5500,11,0,1,0,4
"11163",11163,0,0.026139123,68,0,13,NA,6,0,0,0,NA
"117689",117689,0,0.716454187,40,1,0.308187979,9000,10,0,2,1,1
"1699",1699,0,0.818659658,58,0,1.042791442,5000,11,0,2,0,0
"135679",135679,0,0.180566765,46,0,1774.5,1,12,0,1,0,0
"78317",78317,0,0.036803,87,0,15,NA,4,0,0,0,0
"45081",45081,0,0.798967825,25,0,296,NA,3,0,0,0,0
"80180",80180,0,0.025314524,63,0,0.042182082,19320,17,0,1,0,0
"23952",23952,0,0.159492025,30,0,0.692769077,3000,5,0,1,0,0
"114262",114262,0,0.063286411,59,0,0.564591181,4512,18,0,2,0,0
"101039",101039,0,0.007759229,66,1,937,NA,8,0,1,0,0
"110426",110426,0,0.025232492,82,0,0.013741412,1600,3,0,0,0,0
"149169",149169,1,1.034182522,51,1,0.251655081,12083,3,0,1,1,1
"51130",51130,1,0.9999999,73,2,536,NA,3,2,0,0,0
"6773",6773,1,1.095182139,38,0,0.124704957,5083,4,0,0,1,4
"96617",96617,0,0.194534287,53,1,0.44685105,3000,8,0,2,0,1
"90544",90544,0,0.031737382,47,0,6063,NA,12,0,3,0,2
"105827",105827,0,0.088249634,68,1,7.5e-05,40000,4,0,0,0,0
"116146",116146,0,0.519385846,31,0,0.810911168,3500,10,0,2,0,0
"63665",63665,0,0,53,0,5847,NA,5,0,2,0,3
"86192",86192,0,0,43,0,0.094873757,3920,6,0,1,0,0
"105347",105347,0,0.515798736,66,0,0.681442851,2300,4,0,1,0,0
"139630",139630,1,0.597075329,64,0,0.731403568,8912,17,0,5,0,1
"51747",51747,0,0.445110978,36,0,0.355612682,3500,6,0,2,0,1
"118466",118466,0,0.781218781,42,0,0.211788212,1000,2,0,0,0,0
"46546",46546,0,0.863788884,57,0,4492,NA,28,0,2,0,1
"115947",115947,0,0.054594541,54,0,16,NA,1,0,0,0,1
"99302",99302,0,0.00720612,67,0,11279,NA,10,0,4,0,0
"90316",90316,0,0.9999999,67,1,0,2264,4,0,0,1,0
"104546",104546,0,0.02079936,38,0,0.521863506,7340,8,0,2,0,0
"74695",74695,0,0.360975667,78,0,8743,NA,13,0,1,0,0
"53724",53724,0,1.00501536,79,0,0.564794339,2260,4,0,1,0,1
"125966",125966,0,0.073638163,50,0,0.250641805,7400,6,0,1,0,0
"105888",105888,0,0.222611925,65,0,0.252378649,6200,6,0,2,0,0
"37985",37985,0,0.018349083,26,0,444,NA,7,0,0,0,0
"78167",78167,0,0.9999999,55,0,0.128926454,7926,3,0,1,0,0
"45217",45217,0,0.061510395,60,0,0.103536042,11000,16,0,1,0,0
"66451",66451,0,0.179129353,49,1,0.175882412,10000,6,0,1,0,4
"23998",23998,1,0.9999999,58,0,80,NA,1,2,0,0,0
"103264",103264,0,0.9999999,30,0,0.074183411,10500,4,1,0,0,2
"124528",124528,0,0.179763842,49,0,0.30924893,7708,22,0,1,1,1
"103435",103435,1,0.95640327,41,3,1.129100158,5700,8,0,2,1,2
"122456",122456,0,0.128452491,62,0,0.72959467,1800,4,0,1,0,0
"60890",60890,0,0.233381157,39,0,0.383748139,4700,6,0,2,0,0
"146264",146264,0,0,55,0,924,NA,3,0,1,0,0
"85402",85402,0,0.063953092,69,0,2991,NA,11,0,1,0,0
"92706",92706,0,0,82,0,0.000374742,5336,3,0,0,0,0
"60821",60821,0,0.024961813,39,0,1091,NA,19,0,1,0,0
"97219",97219,0,0.365612917,62,0,0.184421182,9743,11,0,0,0,0
"25162",25162,0,0.39980048,43,0,1890,0,12,0,2,0,0
"133001",133001,0,0.062080747,52,0,2995,NA,10,0,2,0,2
"27613",27613,0,0.130434783,27,0,0.177793645,2800,2,0,0,0,1
"5213",5213,0,0.133194672,43,0,0.383409456,8100,12,0,2,0,1
"138589",138589,0,0,50,0,0.790794066,4583,10,0,1,0,2
"17224",17224,0,0.036952381,59,1,0.301949675,6000,13,0,1,0,0
"137615",137615,0,0.769456226,71,0,0.788642272,5000,7,0,2,0,0
"128145",128145,0,0.008066129,72,0,0.00119952,2500,3,0,0,0,0
"1395",1395,0,0.010653436,39,0,0.00252605,3166,2,0,0,0,0
"135509",135509,0,0.658507394,52,0,0.487329771,5800,12,0,1,0,4
"93913",93913,0,0.9999999,25,0,0,600,1,0,0,0,0
"47712",47712,0,0.025184459,55,0,2480,NA,10,0,2,0,0
"78721",78721,0,0.6449919,30,0,0.212796344,3500,7,0,0,0,0
"56705",56705,0,0.648877207,31,0,0.143101971,3500,6,0,0,0,0
"97151",97151,0,0,63,0,0.097780444,5000,3,0,0,0,2
"34648",34648,0,0.980557099,43,0,3066,NA,6,0,1,0,0
"7653",7653,0,0.567721614,54,0,0.870671673,2396,5,0,2,0,1
"5290",5290,0,0.049051894,58,0,0.202415497,12750,9,0,2,0,1
"118334",118334,0,0.045623859,49,0,3207,NA,12,0,2,0,1
"31317",31317,0,0.991429796,28,0,0.262295082,2500,5,0,0,0,1
"133341",133341,0,0,46,0,0.163783622,10000,6,0,1,0,2
"126306",126306,0,0,54,0,818,NA,11,0,1,0,NA
"126891",126891,0,0.060030307,58,0,0.325334333,8000,12,0,2,0,1
"18893",18893,0,1.996087297,34,0,0.413266524,8381,8,0,1,0,1
"48897",48897,0,0.650204397,24,0,0.542234332,1100,7,0,0,0,0
"144166",144166,0,0.87804878,30,0,0.040599625,1600,1,0,0,0,0
"135081",135081,0,0.030025159,75,0,0.257915201,5400,11,0,2,0,0
"18309",18309,0,0.225605206,49,0,0.469537395,7500,3,0,1,0,0
"123115",123115,0,0.652682044,56,0,0.11629651,17334,10,0,0,0,0
"50169",50169,1,0.002099619,43,0,0.746875521,6000,19,0,2,0,0
"100350",100350,0,0.475772958,44,0,0.522697795,3083,6,0,1,0,2
"17869",17869,0,0.35230422,51,0,0.1762017,14000,4,0,1,0,0
"26046",26046,0,0.000651133,35,1,0.23136646,7083,12,0,2,0,0
"62878",62878,0,0.9999999,69,0,0,0,0,0,0,0,0
"4665",4665,1,0.9999999,32,0,0.445299145,1169,1,0,0,1,0
"122686",122686,1,0.9999999,25,0,0.1745503,1500,1,0,0,0,0
"107085",107085,0,0.10769878,32,0,0.315020963,6916,11,0,1,0,1
"18715",18715,0,0,42,0,0.166178245,5800,6,0,0,0,0
"109176",109176,0,0.656341549,56,0,0.635411709,2100,12,0,0,0,0
"86691",86691,0,0.027093532,74,0,36,0,9,0,0,0,1
"88523",88523,0,0.207125539,66,0,0.336442586,6217,18,0,1,0,0
"141166",141166,0,0.677938967,42,0,1535,NA,7,0,1,0,0
"60122",60122,0,0.097328738,72,0,0.323074159,33400,7,0,2,0,0
"148405",148405,0,0,50,0,0.294936405,12500,9,0,2,0,4
"47300",47300,0,0.327146141,54,0,0.245742853,6400,11,0,0,0,4
"905",905,0,0.037379559,37,0,0.333851794,9000,11,0,2,0,0
"149100",149100,0,2.229007634,34,1,0.095301566,3000,2,15,0,0,0
"21833",21833,0,0.00598758,61,0,47,NA,4,0,0,0,0
"8767",8767,0,0.031660232,62,0,0.528188725,2500,9,0,2,0,0
"111210",111210,0,0.040784258,35,0,0.008372322,4060,2,0,0,0,0
"116997",116997,1,0.40515552,52,0,0.348275287,6000,7,0,2,1,0
"115457",115457,0,0.262315846,69,0,0.041682491,10531,5,0,1,0,0
"47173",47173,0,0.129094692,62,0,14136,NA,29,0,17,0,0
"103143",103143,0,0.743529926,39,1,0.325297189,9000,11,2,1,0,1
"4439",4439,0,0.9999999,63,0,0.199882422,1700,2,0,0,0,0
"60285",60285,0,0.002380606,51,0,0.178527382,30000,13,0,1,0,0
"54108",54108,0,0.977804439,63,0,147,NA,1,0,0,0,NA
"23465",23465,0,0.321011857,42,0,0.538133467,3985,10,0,1,0,1
"1468",1468,0,0.620903668,42,0,1146,NA,14,0,0,0,3
"143034",143034,0,0.007197952,47,0,0.005925251,2193,8,0,0,0,0
"148891",148891,0,0.034999457,77,0,0.111906893,3350,13,0,0,0,0
"110931",110931,0,0.022935214,64,0,0.298783536,6000,13,0,1,0,0
"95287",95287,0,0.284214473,47,0,0.613709063,6564,4,0,2,0,0
"39690",39690,0,0.038018661,32,0,1960,NA,11,0,1,0,0
"47482",47482,0,0.414619513,56,0,0.126692336,8050,7,0,0,0,0
"112815",112815,0,0.991916835,54,0,0.604577743,3800,4,0,0,0,0
"112070",112070,0,0.012275248,58,1,1465,NA,10,0,1,0,0
"29871",29871,0,0.085679384,63,0,0.268444752,8660,9,0,1,0,2
"112496",112496,0,0,52,0,0,12275,6,0,0,0,1
"112156",112156,0,0.11941791,48,0,2196,NA,5,0,1,0,0
"102738",102738,0,0.023184985,91,0,52,NA,9,0,0,0,0
"17865",17865,1,0.059842192,34,0,0.95902049,2000,14,0,2,0,0
"84002",84002,0,0.121980752,62,0,2212,NA,15,0,1,0,0
"6257",6257,0,0.06614367,66,0,0.262818446,3100,7,0,1,0,0
"58144",58144,0,0,78,1,0,8000,4,0,0,0,0
"11274",11274,0,0.039125221,29,0,777,NA,7,0,0,0,0
"38049",38049,0,0.009964932,33,0,15.01724138,115,11,0,1,0,1
"88233",88233,0,0.737118413,71,0,0.648731745,1300,6,0,0,0,0
"100339",100339,0,0.283880523,42,0,0.339665084,4000,7,0,1,0,1
"109395",109395,0,0.087291675,45,1,685,NA,14,0,0,0,1
"114625",114625,0,0.063772851,48,0,0.87443754,4666,9,0,3,0,1
"35184",35184,1,0.044695277,60,0,1885,NA,7,0,1,0,NA
"140206",140206,0,0.032910794,64,0,1814,NA,9,0,1,0,0
"60988",60988,0,0.157224248,55,0,0.230643657,8575,7,0,2,0,1
"23154",23154,0,0.029352596,82,0,0.494156928,1197,7,0,1,0,0
"116786",116786,0,0.457154285,76,0,0.309237932,4080,4,0,2,0,0
"76934",76934,0,0.179705074,33,0,0.757874016,1015,6,0,0,0,0
"66138",66138,0,0.053595927,32,0,0.258918416,9670,4,0,1,0,0
"111320",111320,0,0.831378581,33,1,0.314092228,3100,4,0,0,0,2
"50331",50331,0,0,61,0,0.099237611,7869,9,0,2,0,1
"121401",121401,0,0.986773187,50,2,0.221970404,7500,11,0,0,1,0
"23529",23529,0,0.349253029,60,0,0.501678791,3573,4,0,1,0,0
"49072",49072,1,0.658710904,43,0,0.089720584,3900,4,2,0,1,2
"112792",112792,0,0.025809567,90,0,49,NA,11,0,0,0,0
"109414",109414,0,0.008292177,73,0,0.003996004,1000,5,0,0,0,0
"145505",145505,0,0.928592687,54,0,2.367444074,2100,18,0,2,1,2
"20762",20762,0,0.032058551,61,1,1444,NA,10,0,1,0,0
"98017",98017,0,0.365868829,62,0,0.287482806,13812,12,0,1,0,1
"81719",81719,0,0.103780017,51,1,1606,NA,8,1,1,1,2
"122850",122850,0,0.079888343,62,0,0.377358491,15846,19,0,2,0,0
"132729",132729,0,0,38,0,0.274793201,11000,6,0,1,0,3
"132907",132907,0,0.021171126,67,0,0.266860571,5500,7,0,1,0,1
"35102",35102,0,0.239375328,36,0,0.054885261,4226,4,0,0,0,0
"125045",125045,0,0.994625672,42,0,0.485641585,2750,7,0,1,0,2
"94032",94032,0,0.38228113,42,0,0.141171766,5000,7,0,0,0,2
"37502",37502,0,0.000545435,74,0,0.221796866,8358,9,0,2,0,0
"115174",115174,0,0.9999999,54,0,0.014242673,3650,2,0,0,0,0
"50727",50727,0,0.823409348,62,0,0.466384181,7079,20,0,1,0,0
"133787",133787,0,0.009999649,77,0,274,NA,6,0,0,0,NA
"98715",98715,1,0.232057809,51,1,0.116018177,7041,11,0,0,0,1
"100567",100567,0,0.984063745,24,0,0.021420921,2800,2,0,0,0,0
"60778",60778,0,0.813349649,43,1,0.184654416,14583,15,0,0,0,1
"80236",80236,0,0.172293148,50,0,0.829564682,6500,21,0,4,0,0
"9103",9103,0,0,62,5,1.486095017,1725,7,0,1,0,0
"23138",23138,0,0.216271744,66,0,0.199710913,4150,2,1,0,1,0
"5896",5896,0,0.396984417,59,0,0.343923573,4500,16,0,1,0,0
"141798",141798,0,0.011268279,81,0,0.109824281,5007,14,0,1,0,0
"6234",6234,0,0.066741657,28,0,0.27399651,4583,10,0,1,0,0
"135238",135238,0,0.083309525,64,0,0.112794876,6400,7,0,0,0,0
"84673",84673,0,0.724371794,48,0,0.459597721,8600,17,0,1,0,2
"47365",47365,0,0.061780126,35,0,1648,NA,12,0,1,0,0
"103675",103675,0,0.025282057,71,0,0.011997001,4000,7,0,0,0,1
"130779",130779,1,0.9999999,48,0,0,2900,0,1,0,0,0
"93582",93582,0,0.457082994,57,0,2.025487256,2000,8,0,1,0,3
"107953",107953,0,0.318694504,30,1,0.566690699,4160,7,0,1,0,0
"29126",29126,0,0.253427952,55,0,0.897537245,3288,19,0,2,0,1
"25252",25252,0,0.351269207,57,0,0.245210728,10700,14,0,2,0,1
"133849",133849,0,0.057837733,66,0,0.448038819,2472,8,0,2,0,0
"2193",2193,0,0.001162656,40,2,809,NA,6,0,1,0,0
"84983",84983,0,0.382355611,50,0,4360,NA,14,0,2,0,0
"24796",24796,0,0.018718282,67,0,0.330364372,6174,8,0,2,0,0
"7926",7926,0,0.143161193,42,0,0.667203682,4344,11,0,1,0,0
"113900",113900,0,0.167686405,63,0,0.338326406,12750,18,0,2,0,1
"105004",105004,0,0.106294656,58,0,0.156892905,5200,10,0,1,1,0
"6855",6855,0,0.005493187,58,1,0.272149023,2200,8,0,1,0,0
"33507",33507,0,0.027034098,39,0,0.264957265,8891,10,0,5,0,0
"130130",130130,0,0.348448097,46,0,0.288579387,1794,10,0,0,0,2
"36338",36338,0,0.013155287,62,0,0.311135775,8108,7,0,1,0,0
"63098",63098,0,0.000799968,36,0,3200,NA,10,0,2,0,1
"44646",44646,0,0.586109599,49,0,0.11123262,6400,4,0,0,0,0
"89862",89862,0,0.211972896,54,0,0.13379331,20000,23,0,1,0,2
"15302",15302,0,0.09725163,38,1,0.04217233,3295,10,0,0,1,1
"97773",97773,0,0,77,0,43,0,4,0,0,0,0
"111033",111033,0,0.368673358,57,0,0.254089545,17666,20,0,2,0,2
"85554",85554,0,0.039903708,83,1,0.152521713,6562,30,0,1,0,0
"65193",65193,0,0.470843052,27,0,0.097332016,6071,6,0,0,0,3
"70516",70516,0,0.015999562,51,0,0.06491633,3465,4,0,0,0,0
"30437",30437,0,0.715188303,46,0,1.034950071,2803,6,0,1,0,2
"22521",22521,0,0.007514924,81,0,0.001953125,3583,6,0,0,0,0
"1809",1809,0,0.088046633,63,0,0.157283194,9466,5,0,1,0,0
"46602",46602,0,0.352668019,52,1,0.302707558,7792,11,0,2,0,1
"127975",127975,0,0.000614024,53,0,0.351303106,2800,8,0,1,0,0
"121760",121760,0,0.016356559,68,0,0.048324933,10118,4,0,1,0,0
"6414",6414,0,0.02038484,72,0,0.011753183,4083,9,0,0,0,0
"14239",14239,0,0.072822883,60,0,0.267958031,3716,9,0,1,0,0
"98365",98365,0,0.810918908,70,0,0.209164819,2705,4,0,0,0,0
"117668",117668,0,0.9999999,62,0,0.540645474,4120,3,0,2,0,1
"101629",101629,0,0.981366977,44,0,0.37562248,12650,4,0,2,0,3
"84241",84241,0,0.019107487,71,0,0.049916805,600,6,0,0,0,0
"30442",30442,0,0.225584961,42,0,1538,0,3,0,1,0,2
"111042",111042,0,1.200799201,32,0,597,NA,10,0,0,0,0
"33580",33580,0,0.080534034,71,0,0.012562567,10188,6,0,0,0,0
"27728",27728,0,0.342280412,49,0,0.182587294,6500,9,0,0,0,2
"8374",8374,0,0.345861655,40,0,0.15964141,11600,8,0,1,0,2
"34034",34034,1,0.9999999,25,0,78,NA,1,0,0,0,0
"119430",119430,0,0.304898367,22,0,0.196535643,1500,3,0,0,0,0
"52263",52263,0,0.0461038,41,1,2671,NA,12,0,1,0,0
"125676",125676,0,1.136395453,64,1,1.748148656,14583,13,0,4,0,1
"131522",131522,0,0.885028427,44,0,0.407037185,2500,2,0,0,0,0
"55817",55817,0,0.083199795,53,0,0.234941205,8333,6,0,1,0,0
"124120",124120,0,0.018254188,43,0,0.333733253,5000,8,0,1,0,0
"66713",66713,0,0.738822622,45,0,0.448790627,10583,9,0,4,0,2
"135692",135692,0,0,33,1,0.403917417,5666,5,0,2,0,2
"127097",127097,0,0.022345883,33,0,0.53531941,3255,7,0,1,0,1
"82598",82598,0,0.000596926,40,0,0.173459876,11800,7,0,1,0,1
"102088",102088,0,0.584483103,27,0,0.889136668,3138,13,0,2,0,0
"67342",67342,0,0.030815802,37,0,0.335278009,8398,11,0,1,0,2
"18714",18714,1,0.987432162,40,0,0.14978602,1401,3,0,0,0,3
"130394",130394,0,0.377324599,59,0,0.406817458,9416,19,0,1,0,1
"76913",76913,0,0.110461463,81,0,0.13569861,8201,4,0,1,0,0
"143951",143951,0,0.256916206,66,0,0.168302945,6416,7,0,1,0,2
"36271",36271,0,0.9999999,51,0,0.577507599,4605,3,2,1,0,0
"12746",12746,0,0.028813981,69,0,0.004127868,10416,6,0,0,0,0
"124653",124653,0,0.000415672,71,0,0.268846258,3700,8,0,1,0,0
"61739",61739,0,0.310343285,73,0,4615,NA,8,0,2,0,0
"111423",111423,0,0.058220928,59,0,1521,NA,8,0,2,0,0
"29967",29967,1,0.9999999,52,0,0.011244378,5335,2,2,0,0,1
"59898",59898,0,0.032814987,43,0,1428,NA,6,0,1,0,2
"44173",44173,0,0.293327478,59,0,0.740503798,2500,4,0,0,0,0
"99755",99755,0,0.139091419,51,0,89,NA,3,0,0,0,0
"20954",20954,0,0.341094425,66,0,1162,NA,7,0,0,2,0
"54898",54898,0,0.108734809,57,0,0.260390161,7073,8,0,1,0,4
"94373",94373,0,0.023086909,63,0,0.280130885,5500,9,0,2,0,0
"51148",51148,0,0.663374648,26,0,0.299104353,4800,5,0,0,0,0
"18620",18620,0,0.30647849,47,0,0.258314856,10823,5,0,1,0,0
"65190",65190,0,0.357240998,66,1,0.630304377,4500,11,0,2,0,2
"42412",42412,0,0.712136123,37,0,0.218397372,7000,9,0,0,0,1
"137452",137452,0,0.019407353,76,0,0.01988401,2413,4,0,0,0,0
"102614",102614,0,0.385178855,49,1,0.28545056,8666,10,0,1,0,0
"76591",76591,0,0.06084054,36,0,0.329266226,5900,10,0,2,0,2
"83165",83165,0,0,69,1,0.03814485,5950,7,0,1,0,0
"23490",23490,0,0.109237559,44,0,0.146271784,10500,17,0,2,0,0
"49624",49624,1,0.527875167,46,0,0.123887611,10000,8,0,0,0,2
"75590",75590,0,1.026578073,41,2,0.740504082,2816,6,2,1,0,2
"122765",122765,0,0.542847363,32,0,0.256463289,2900,7,0,0,0,1
"70404",70404,0,0.041843515,34,0,0.009331778,6000,4,0,0,0,0
"67201",67201,0,0.064393024,43,0,0.056736373,5833,3,0,0,0,0
"7159",7159,0,0.022137168,45,0,2144,NA,5,0,1,0,0
"27356",27356,0,0.385925085,32,0,0.383113234,7117,7,0,2,0,2
"43499",43499,0,0.965006999,48,1,0.348482094,5500,5,0,2,2,1
"149554",149554,0,0.05212081,68,0,1502,NA,4,0,1,0,0
"129393",129393,0,0.487091199,72,0,0.619088937,9219,12,0,2,0,1
"40219",40219,0,0.015382261,46,0,0.005609224,3208,6,0,0,0,0
"17630",17630,0,0.9999999,52,0,0.105519481,4311,2,0,0,0,0
"44432",44432,0,0.316785222,27,2,0.490892936,2250,11,0,0,0,0
"141358",141358,0,0.162055863,36,0,0.015996801,5000,2,0,0,0,2
"51061",51061,0,0.093409922,69,0,0.287417007,12500,17,0,2,0,0
"140531",140531,0,0.9999999,39,0,0.015954052,4700,0,0,0,0,3
"146925",146925,0,0.030629317,73,0,0.31515988,4346,18,0,1,0,0
"67178",67178,1,0.10129554,50,1,0.409412078,7500,15,0,2,0,2
"143300",143300,0,0.806085366,36,2,1.056818182,2551,9,0,1,0,0
"111167",111167,0,0.039652276,63,0,62,NA,10,0,0,0,0
"81751",81751,0,0.033432219,74,0,0.012189813,4593,3,0,0,0,1
"106148",106148,0,0,44,0,0.014496376,4000,3,0,0,0,3
"32038",32038,0,0.041874564,63,0,0.00909909,10000,5,0,1,0,0
"109721",109721,0,0.9999999,61,0,347,NA,2,0,1,0,0
"17795",17795,0,0.235288236,56,0,0.224630267,10750,6,0,2,0,0
"5964",5964,0,0.012984691,62,0,568,NA,13,0,0,0,0
"90602",90602,0,0.300032816,38,0,899,0,6,0,1,1,0
"74070",74070,0,0.763758747,55,0,0.948800738,2167,6,0,2,0,0
"82246",82246,0,0.22894888,40,3,0.48341943,6000,14,0,2,0,1
"24360",24360,0,0,35,0,0,3362,1,0,0,0,0
"119113",119113,0,0.153491473,80,0,82,NA,1,0,0,0,0
"95082",95082,0,0.9999999,53,0,0.245688578,4000,5,0,0,0,0
"1889",1889,0,0.9999999,62,0,0.03263928,1776,1,1,0,0,0
"137448",137448,0,0.738456353,39,0,2386,NA,7,0,1,0,0
"79546",79546,0,0.005240192,46,0,0.082295885,20000,8,0,0,0,3
"87670",87670,1,0.9999999,27,0,0,2000,0,1,0,1,0
"43831",43831,0,0.37574939,46,0,0.243189985,8626,26,0,1,0,3
"114792",114792,0,0.000841643,63,0,0.00099975,4000,11,0,0,0,0
"27882",27882,0,0.313874968,50,0,0.338989236,5480,16,0,0,0,1
"72851",72851,0,0.15610594,53,0,0.417805545,5121,14,0,1,0,0
"63444",63444,0,0.11453222,46,0,0.453509298,3333,8,0,1,0,2
"125033",125033,0,0.036379992,61,0,0.028092923,1850,10,0,0,0,1
"111915",111915,0,0,31,0,0.023421879,3500,6,0,0,0,0
"109619",109619,0,0.9999999,24,0,0,3231,0,0,0,0,0
"54200",54200,0,0.174165305,56,0,0.312055036,12500,11,0,3,0,0
"146457",146457,0,0.178357626,41,0,0.730283155,6250,24,0,2,0,0
"15724",15724,0,0.009794234,58,0,0.023798191,2100,15,0,0,0,1
"19114",19114,0,0.9999999,70,0,0.461732222,5160,8,0,1,0,0
"21878",21878,0,0.235705845,47,4,1686,NA,6,0,3,0,0
"9433",9433,0,0.117484754,45,0,0.506981555,5800,9,0,1,0,3
"41161",41161,0,0.478857724,47,0,0.45668877,9500,9,0,3,0,2
"84475",84475,0,0.075792421,48,0,0.235116979,4316,3,0,1,0,0
"86569",86569,0,0.003462038,58,0,844,NA,8,0,1,0,NA
"46170",46170,0,0,47,0,0.055993001,8000,4,0,0,0,2
"41893",41893,0,0.315939842,68,0,1340,NA,6,0,2,0,0
"26324",26324,0,0.202034053,47,0,0.658520329,4500,8,0,2,0,4
"28727",28727,0,0.655562958,31,0,0.135338346,6250,6,0,0,0,2
"69118",69118,0,0.129304855,63,0,1.353976402,15000,16,0,3,0,0
"104785",104785,0,0.051603301,69,1,0.48056311,6250,11,0,1,0,0
"103418",103418,0,0.517907131,53,1,0.51063443,5500,8,0,2,0,1
"79802",79802,0,0.000414727,55,0,0.750590618,5925,6,0,3,0,0
"128185",128185,0,0.041699687,30,0,0.348260779,4800,18,0,1,0,0
"115320",115320,0,0.000321533,37,0,0.639069377,4770,7,0,1,0,1
"48001",48001,0,0.079130809,58,0,1285,NA,16,0,1,0,0
"40657",40657,0,0.779407353,35,0,0.209821429,3583,6,0,0,0,0
"21394",21394,0,0.559369136,37,0,0.349334601,4207,17,0,0,0,0
"13984",13984,0,0.491845661,41,1,0.715478584,6466,13,0,2,0,0
"136550",136550,0,0.981317428,53,1,2687,NA,5,0,1,0,0
"14589",14589,0,0.122497843,63,0,0.272371102,6380,8,0,1,0,0
"47717",47717,0,0.835544297,34,1,951,NA,5,0,0,0,2
"99329",99329,0,0.021956088,35,1,0,NA,1,0,0,0,0
"60407",60407,0,0.568245125,53,1,0.271842034,3696,12,0,1,0,0
"149742",149742,0,0.093257222,54,0,1.364878374,3000,12,0,2,0,0
"139294",139294,0,1.297810792,58,0,0.175516977,7833,5,0,0,0,0
"57472",57472,0,0.641296961,34,1,0.149709499,7400,6,0,0,0,1
"56437",56437,0,0.091052819,56,0,0.100674209,8750,11,0,1,0,0
"114419",114419,0,0.003586749,60,0,17,NA,5,0,0,0,0
"142879",142879,0,0.026437918,46,0,0.577070488,6000,31,0,1,0,2
"18737",18737,0,0.163338504,47,0,0.497854701,13750,11,0,2,0,2
"135208",135208,0,1.001991873,44,0,0.153282239,3000,5,0,0,0,2
"106705",106705,0,0.050073345,79,1,1.199818347,1100,10,0,1,0,0
"108627",108627,0,0.025809323,78,0,0.065985337,4500,14,0,1,0,2
"110919",110919,0,0.009459624,64,0,0.268178546,8333,8,0,1,0,1
"141919",141919,0,0,60,0,0.25844569,6600,8,0,1,0,1
"43861",43861,0,0.120446055,85,0,2866,NA,10,0,1,0,NA
"12419",12419,0,0.500135123,38,1,0.356301321,2800,6,0,0,0,0
"93083",93083,0,0,69,0,1632,NA,11,0,1,0,NA
"14158",14158,0,0.007417542,64,0,0.114724766,9500,18,0,1,0,0
"135450",135450,0,0.144072021,38,0,0.551834699,5613,5,0,1,0,0
"74539",74539,0,0.026648901,36,1,0.28215952,4500,9,0,2,0,0
"143580",143580,0,0.525954894,73,0,0.416016117,3970,4,0,1,0,1
"48808",48808,0,0.034855483,40,0,0.156421181,11500,9,0,1,0,3
"110518",110518,0,0.10542066,44,0,0.016383355,13000,5,0,0,0,2
"67309",67309,0,0.9999999,43,0,0,19791,0,0,0,0,4
"91617",91617,0,0.001274506,62,0,2937,NA,13,0,4,0,0
"98940",98940,0,0.428430668,36,0,0.502442997,3683,13,0,2,0,1
"40122",40122,1,0.888835991,45,1,0.250721015,5200,8,0,1,0,1
"139578",139578,0,0,55,0,0,1400,5,0,0,0,0
"106989",106989,0,0.086431075,68,0,207,NA,8,0,0,0,0
"55506",55506,0,0.001406562,32,0,1.057025077,2910,7,0,2,0,0
"95038",95038,0,0,34,0,0.556822983,7100,11,0,1,0,3
"5123",5123,1,1.857819905,43,1,0.017697081,4350,1,0,0,0,2
"22014",22014,0,0.095747008,48,0,0.117674204,6500,6,0,0,0,4
"134327",134327,0,0.058788279,65,0,0.227888523,10333,14,0,2,0,0
"60210",60210,0,0.001737251,61,0,0.214623882,1900,6,0,1,0,0
"72106",72106,0,0.002365339,79,0,4,NA,9,0,0,0,0
"65988",65988,0,0.169152555,29,0,0.186290587,3048,5,0,0,0,0
"124274",124274,0,0.053904956,72,0,0.075577764,1600,13,0,0,0,0
"114599",114599,0,0.066499696,50,0,0.028398529,73700,11,0,1,0,2
"82499",82499,0,0.048581049,62,0,196,1,6,0,1,0,0
"117528",117528,0,0.261424189,48,0,2201,NA,13,0,1,0,2
"57735",57735,0,0.307794186,55,0,0.252610531,4500,11,0,0,0,1
"138101",138101,0,0.870125542,37,0,0.18555052,3750,6,0,0,0,0
"89762",89762,0,0.02075729,62,0,0.437028208,7550,14,0,2,0,0
"129502",129502,0,0.035964036,22,0,0.001075269,929,2,0,0,0,0
"108204",108204,0,0.304633966,62,1,3.183661811,3500,12,0,0,0,2
"113939",113939,0,0.12744437,30,0,0.391101346,3640,6,0,1,0,0
"42652",42652,0,0.263394554,60,0,0.37838446,13332,20,0,1,0,1
"93274",93274,1,0.9999999,31,0,0.084741728,4200,5,0,0,0,0
"65019",65019,0,0.673460704,41,0,0.832655275,7373,13,0,3,0,0
